Key,Type,Desc,English
Parts/Manufacturer/ProceduralEngineCoverL,Text,,MILion Industries
Parts/Description/ProceduralEngineCoverL,Text,,"Milfree's kids, I mean, engines were getting bigger with time, so he had to give them a bigger blanket. Lets hope this doesn't become a trend."

Parts/Title/ProceduralEngineCoverXL,Text,,BLNKT-182
Parts/Subtitle/ProceduralEngineCoverXL,Text,,Engine cover
Parts/Manufacturer/ProceduralEngineCoverXL,Text,,MILion Industries
Parts/Description/ProceduralEngineCoverXL,Text,,"And he's giving their “kids” another blanket... They grow so fast. Also, they listen to metal now? lets hope its just a phase."



Parts/Title/BE-4,Text,,BUH-4
Parts/Subtitle/BE-4,Text,,High Thrust 1.875m engine
Parts/Manufacturer/BE-4,Text,,MILion Industries
Parts/Description/BE-4,Text,,"Milfree, after his success with kheap decided to go big, his boss didn't like his design very much tho, so he went home. But he had too many "inventions" laying arround so he decided to start his own yard of scrap! I mean, rocket parts!"



Parts/Title/Reiptor-12Vac,Text,,Reiptor-12 (Vac)
Parts/Subtitle/Reiptor-12Vac,Text,,High ISP Vacuum engine
Parts/Manufacturer/Reiptor-12Vac,Text,,MILion Industries
Parts/Description/Reiptor-12Vac,Text,,"Milfree's engines always seemed to underperform when on the cold space (even after he gave them his BLNKT-182), he was unsatisfied with his inventions so he did what he know best and he took an productive nap. He dreamt about a nozzle the size of a big ball, very big! So he made a BIG nozzle and attached it to Reiptor-12"


Parts/Title/Mirlin-07Vac,Text,,Kheap-0 (Vac)
Parts/Subtitle/Mirlin-07Vac,Text,,High ISP Vacuum engine
Parts/Manufacturer/Mirlin-07Vac,Text,,MILion Industries
Parts/Description/Mirlin-07Vac,Text,,"Milfree's solution for space propulsion! Genius idea, lets just make the nozzle bigger he said, when he went to test the engine it just exploded... So he thought, this is just a diffrent form of deltaV! so he strapped it into the upper stage of a rocket and somehow the engine didnt explode..."


Parts/Title/GridfinHexS,Text,,HexaFly - 2B
Parts/Subtitle/GridfinHexS,Text,,Hexagonal gridfin
Parts/Manufacturer/GridfinHexS,Text,,MILion Industries
Parts/Description/GridfinHexS,Text,,"Milfree always liked bees, maybe a bit too much, so much that he wanted them to go to space and see how pretty it is up there, so he strapped his hivebox onto a rocket and send them to space! - “Bee free” - he said, seconds later the hivebox began to RUD, leaving only a couple of slots on the side of the rocket, the rocket was able to do a backflip and land back on Milfree's Yard! After the success, Milfree made a few tweaks to “his” design"

Parts/Title/InlineGridfinBase,Text,,HexaFly - TankU
Parts/Subtitle/InlineGridfinBase,Text,,Hexagonal grifin aerodynamic base
Parts/Manufacturer/InlineGridfinBase,Text,,MILion Industries
Parts/Description/InlineGridfinBase,Text,,"Small tank to house all of those bees, or HexaFlies 2Bs up to you!"


Parts/Title/GridfinHexM,Text,,HexaBIGFly - !2B
Parts/Subtitle/GridfinHexM,Text,,Hexagonal gridfin
Parts/Manufacturer/GridfinHexM,Text,,MILion Industries
Parts/Description/GridfinHexM,Text,,"After a couple months, Milfree was filled with guilt after stealing the bees' idea. He tried to give back to his bees by throwing a pool party in their homage. It didnt go very well, so Milfree decided to make a bigger home for them"

Parts/Title/InlineGridfinBase_2.5m,Text,,HexaBIGFly - TankUVeryMuch
Parts/Subtitle/InlineGridfinBase_2.5m,Text,,Hexagonal grifin aerodynamic base
Parts/Manufacturer/InlineGridfinBase_2.5m,Text,,MILion Industries
Parts/Description/InlineGridfinBase_2.5m,Text,,"Medium tank to house all of those bees, or HexaFlies !2Bs (not 2Bs) up to you!"

Parts/Title/sorry_HeavyRCSBlock,Text,,RC-5
Parts/Subtitle/sorry_HeavyRCSBlock,Text,,RCS Thruster Block
Parts/Manufacturer/sorry_HeavyRCSBlock,Text,,MILion Industries
Parts/Description/sorry_HeavyRCSBlock,Text,,"Milfree had this strange looking pressurized tank and had the brilliant idea to poke some holes on it. He was amazed to see that the tank flew a couple meters away. Creating RC-5."

Parts/Title/sorry_m2_VtolBi,Text,,M-34 “Persina”
Parts/Subtitle/sorry_m2_VtolBi,Text,,VTOL Methalox Engine
Parts/Manufacturer/sorry_m2_VtolBi,Text,,MILion Industries
Parts/Description/sorry_m2_VtolBi,Text,,"Vertical Takeoff and Landing engine on the form factor Mk2."
